ID,SKILL,MP,ADV,MDV,PER,CATEGORY,TARGET,SCOPE,INFLUENCE,DT,FC,FVC,ID:確率/ID:確率・・・
45,悲涙滴る世界,0,0,180,0,1,1,1,0,0,0,0,0:0/0:0
46,フレイム,4,0,110,0,1,0,0,0,0,0,0,47:10,25/0:0
47,ファイヤーバーン,16,0,130,0,1,0,0,0,0,1,5,48:5,5/0:0
48,メテオ,32,0,150,0,1,0,1,0,0,1,10,0:0/0:0
49,ウォーターバインド,5,0,110,0,1,0,0,0,0,2,3,50:10,25/0:0
50,アクアバースト,15,0,130,0,1,0,0,0,0,2,5,51:5,5/0:0
51,スプラッシュ,36,0,150,0,1,0,1,0,0,2,10,0:0/0:0
52,ボルト,3,0,110,0,1,0,0,0,0,0,3,53:10,25/0:0
53,ライボルト,18,0,130,0,1,0,0,0,0,0,5,54:5,5/0:0
54,メテオボルト,38,0,150,0,1,0,1,0,0,0,10,0:0/0:0
55,エアスラッシュ,4,0,110,0,1,0,0,0,0,3,3,56:10,25/0:0
56,エアブレイド,20,0,130,0,1,0,0,0,0,3,5,57:5,5/0:0
57,サイクロン,32,0,150,0,1,0,1,0,0,3,10,0:0/0:0
58,サンライト,6,0,110,0,1,0,0,0,0,4,3,59:10,25/0:0
59,ホーリーエッヂ,21,0,130,0,1,0,0,0,0,4,5,60:5,5/0:0
60,エンジェルフォース,40,0,150,0,1,0,1,0,0,4,10,0:0/0:0
61,シャドウ,5,0,110,0,1,0,0,0,0,5,3,62:10,25/0:0
62,シャドウスパイク,22,0,130,0,1,0,0,0,0,5,5,63:5,5/0:0
63,ダークネス,35,0,150,0,1,0,1,0,0,5,10,0:0/0:0
64,ヒール,5,0,130,0,0,1,0,0,0,4,0,65:10,25/0:0
65,キュア,10,0,150,0,0,1,0,0,0,4,0,66:5,5/0:0
66,ヒールサークル,20,0,145,0,0,1,1,0,0,4,0,0:0/0:0
67,アタクター,8,0,0,0.3,0,1,0,2,2,4,0,68:10,25/0:0
68,ハイアタクター,13,0,0,0.5,0,1,1,2,2,4,0,0:0/0:0
69,ディフェンド,7,0,0,0.3,0,1,0,3,2,4,0,70:10,25/0:0
70,ハイディフェンド,11,0,0,0.5,0,1,1,3,2,4,0,0:0/0:0
71,スラック,4,0,0,-0.3,0,0,0,2,2,5,0,72:10,25/0:0
72,ウィーク,7,0,0,-0.5,0,0,1,2,2,5,0,0:0/0:0
73,ハイスラック,5,0,0,-0.3,0,0,0,3,2,5,0,73:10,25/0:0
74,ハイウィーク,8,0,0,-0.5,0,0,1,3,2,5,0,0:0/0:0
